artist,tags_lastfm
Ariana Grande,pop; female vocalists; rnb; Ariana Grande; nickelodeon; american; r&b; dance; soul; singer-songwriter; florida; dance-pop; electropop; sexy; USA; 3; Bridgit Mendler; Soundtrack; seen live; female vocalist; 10s; teen pop; Mariah Carey; contemporary rnb; chillout; chill; cute; world; World Music; boca raton; All; Selena Gomez; justin bieber; Skitz0rz; uitluisteren artist; holloween skitz0rz; Hip-Hop; electronic; female; beautiful; guilty pleasure; hot; trap; sunflower; Miley Cyrus; my dance room; hip hop; pop rock; Queen; electro house; english; perfect; EDM; United States; Demi Lovato; victorious; fav888; rock; C; urban; House; g; k; 1; f; dance pop; j; 4; shit; R; lovely; Disney; overrated; E; misc; 9; 2; 7; us; songs; 13; 5; 6; i; o; 8; 0; x; bats; r'n'b; d; Shady; s; b; cancer; h; a; w; amazing voice; m
Ariel Kalma,ambient; chillout; didgeridoo; world fusion; new age; World Fusion Radios Unearthed Gems; psychedelic; experimental; acid jazz; World Music; nature sounds; french; Fusion; sax; drone; summer; Field Recording; travelling; Ritual; world groove; nice nite; Cool groove; drone didgeridoo; mystical drone; noise; electronic; jazz; 70s; dance; world; flute; synth; avant garde; Avant-Garde; spoken word; cosmic; avantgarde; spiritual; Meditation; odd; ethno; france; to listen; spring; musique concrete; paris; Elements; Earth; Progressive Electronic; Leftfield; 5 Star; spotify; Chansons; hex; yes please; mesmerize; poesie; didge; meabsolutfav; reiki; rainforest; cosmic synthesiser; myfavo; perfect percussion; didgeridoo music; didgeridoomusic; didgeridoomusik; global village; mylounge; didgeridoo musik; didgeridoo player; yrdaki; fielding recordings; 15oooo; hexenkind; 10p; etherial synthesiser; an e1; myfloor; jagen; tolion dance; 19o 000; m y sax tunes; transculture; jungle psych; a k a s h a
Aries Vigoth,singer-songwriter; latin; Colombia; cantautor; tropical; Joropo; agregar
Arijit Singh,Hindi; india; All; arijit; Indipop; Indian; bollywood; Soundtrack; lovely; flipkart coupons; seen live; world; romantic; indian pop; bengali pop; Adhunik Bangla Gaan; hiiii; couponbaba; flipkart coupon codes 2014; arjit; feature film soundtrack
Arkaea,industrial metal; metalcore; modern metal; Melodic Death Metal; metal; groove metal; american; thrash metal; death metal; industrial groove metal; industrial metalcore; USA; Industrial Death Metal; Cyber Metal; modern death metal; Threat Signal; industrial; alternative metal; Nu Metal; Fear Factory; Modern Melodic Death Metal; Arkaea
Arkham Witch,heavy metal; doom metal; Traditional Doom Metal; british; Doom; metal; hard rock; United Kingdom; seen live; england; uk metal; traditional heavy metal; Heavy Doom Metal; folk; UK; pagan metal; NWOBHM; Black Sabbath; occult rock; traditional doom; british heavy metal; Traditional Metal; metalpunk; NWOTHM; Barbarian Wrath; must check; viking pirates of doom; bbb; true doom metal; Manilla Road; Lovecraftian Metal; fenriz band of the week; tradicional doom metal; punk ; lovecraftian blues; lovecraftian hard rock; lovecraftian rock n roll
Arlo Guthrie,folk; singer-songwriter; 60s; classic rock; americana; seen live; rock; american; 70s; arlo guthrie; oldies; folk rock; woodstock; country; acoustic; political; folk-rock; Protest; new york; blues rock; male vocalists; hippie; blues; anti-war; humor; 1960s; guthrie; comedy; funny; pop; classic; favorites; Love; contemporary folk; guitar; feel good; relaxing; bluegrass; music for the revolution; political folk; traditional folk; Ario Guthrie
Armaan Malik,seen live; bollywood
A.R. & Machines,krautrock; psychedelic; Progressive rock; space rock; experimental; german; Psychedelic Rock; prog; rock; kosmische; achim reichel; kosmische musik; 70s; Experimental Rock; Avant-Garde; Progressive; echoplex; hamburg; psych; check out; under 2000 listeners; progrock; All; freakout; spacerock; avant-garage; nurse with wound list; spotify; 2 stars; NWW list; beyondwithin; need to check out; rattles; Psychedelic Space Rock; kosmische music; eccentrics; punk attitude; German Prog; mavericks; Ultrafresh; purp1eprog; most interesting of the seventies; artists I wish I had seen live; music is a art; underheard and underappreciated legends
Armand Hammer,Hip-Hop; underground hip-hop; hip hop; rap; experimental; new york; abstract hip hop; underground rap; american; experimental hip-hop; hardcore hip hop; avanthop; underground hip hop; underground; conscious hip-hop; New York City; alternative rap; Jazz Hop; abstract hip-hop; east coast rap; REVOLUTIONARY; conscious; east coast hip hop; east coast hip-hop; politcal; jazz rap; Conscious Hip Hop; Conscious Rap; Elucid; less than 1000 listeners; billy woods; NY hip-hop scene
Armando Manzanero,bolero; mexico; armando manzanero; pop; latin; boleros; spanish; mexican; songwriter; male vocalists; 00s; Favoritos; seen live; jazz; 60s; 70s; 80s; memories; piano; easy listening; romantic; 90s; 50s; crooners; rock en español; latin pop; latin america; mariachi; cantautor; mexicana; Musica Mexicana; popular; my childhood; 10s; Myjukebox; All; mexican pop; musica latina; spotify; style; rca victor; yucatan; lo que si me gusta aunque no me crean; viejovenes; musica del viejo oeste; Latin Grammy nominee; Latin Grammy winner; vintage Mexico; noches de Acapulco; johny mathis; In the mood for Boleros and Baladas ROMANTICAS; my classical instrumentals; boleros cwcafe
Armando Palomas,Rupestre; rock; Rock en Espanol; Rock Urbano; spanish; singer-songwriter; acoustic; latin; mexico; Cantautores; trova; mexican; cantautor; Trovadores; rock nacional; latinoamerica; roleros; acts i have seen
Armored Saint,heavy metal; Power metal; metal; Traditional Metal; Old-School Metal; seen live; american; thrash metal; 80s; hard rock; USA; traditional heavy metal; United States; speed metal; US MEtal; 80s metal; US Power Metal; classic metal; american metal; rock
Arne Domnérus,jazz; saxophone; swing; 1970s; 1960s; swedish jazz; instrumental; swedish; svenskt; clarinet; song; favorit; 2000s; 1980s; 1950s; 1990s; legend; national; svensk jazz; scandinavian music; Instrumental Jazz Tag; inne liszaj radio; arne domnerus; du gamla du fria
Arnold Bax,Classical; contemporary classical; 20th Century Classical; Post-Romantic; english; british; piano; orchestral; All; 20th Century; Arnold Bax; chamber music; romantic; composer; composers; lesser known yet streamable artists; romanticism; Impressionist; Impressionism; bax; instrumental; UK; clarinet; european; to check out; 1900s; 1940s; 1920s; 1910s; 1930s; 20th century classical composer; late romantic; 20th century romantic; gammarec; musique contemporaine; flaneur; music to work by; music to delve into further; tone poem; classical composers; post-romanticism; english classical composer; freepurp1e; symphonists; Juma; uk ftw; jlclassical; jltag; jlmodern; jlsqc; jlprm; jlmod2; modern contemporary classical; a bax; british-classical; mild modern; 8-composers; 9-classical; 9-classical-20th-century
Árnyak,dark rock; hungarian; Gothic Metal; metal; seen live
A.R. Rahman,Soundtrack; bollywood; Indian; Hindi; A R Rahman; world; india; instrumental; tamil; composer; desi; World Music; Rahman; chillout; ar rahman; ARR; film score; pop; Bollywood Soundtracks; telugu; kollywood; Classical; ethnic; Soundtracks; Hindi Soundtrack; jai ho; electronic; dance; AR; composers; world fusion; Bollywood Movies; filmi; score; slumdog millionaire; chill; folk; ambient; Asian; 00s; REHMAN
Arrested Development,Hip-Hop; hip hop; rap; alternative rap; 90s; seen live; political; funk; alternative; hiphop; alternative hip-hop; political rap; alternative hip hop; american; indie; underground hip-hop; georgia; pop; reggae; funky; Arrested Development; afrocentric hip-hop; USA; world; old school; male vocalists; southern rap; jazz; rock; soul; rnb; Jazz Hop; 1990s; atlanta; chillout; underground rap; urban; intelligent; 00s; oldschool rap
Art Blakey,jazz; Hard Bop; bebop; drums; swing; art blakey; american; blue note; bop; drummer; jazz drums; jazz drummer; classic jazz; jazz drum; Blue Note Jazz; USA; 50s; jazz piano
Art Blakey & The Jazz Messengers,jazz; bebop; Hard Bop; drums; swing; instrumental; american; art blakey; Fusion; jazz drums; Blue Note Records; classic jazz; USA; jazz fusion; blue note; bop; blues; 50s; essential jazz; saxophone; free jazz; Art Blakey and The Jazz Messengers
Artefact,black metal; melodic black metal; trip-hop; new wave; french; post-punk; electronic; trip hop; french black metal; seen live; france; metal; Progressive metal; downtempo; triphop; female vocalists; cold wave; minimal wave; Symphonic Black Metal; epic black metal; french new wave; chillout; indie; 80s; doom metal; Post punk; synthpop; relax; coldwave; minimal synth; space age pop; progressive black metal; french metal; Disco; heavy metal; electropop; chill; rock; punk; alternative; goth; ambient; indie rock; prog; calm; synth pop; funk; techno; downbeat; melodic; lounge; Fox; laid back; postpunk; Progressive; Mellow; pop punk; synthesizer; female vocals; band; dutch; deathrock; 00s; rock-n-roll; Pop-Rock; chill out; check later; want to see live; XYZ; sweet; synth-pop; netherlands; welsh; Rare; lush; Angelic Voices; belarus; belarusian rock; Belarusian; search; french cold wave; Black metal progressif; blackz; zikmax; DARKk; Heavy Black Metal; frenchz; ELECTRO-SYNTHETIQUE; french melodic black metal; Atmospheric Black Metal Influenced
Art Farmer,jazz; trumpet; bebop; Hard Bop; jazz trumpet; Trumpet Jazz; flugelhorn; art farmer; Post-Bop; american; bebob; 60s; bop; cool; 50s; 70s; instrumental; USA; blues; cool jazz; 40s; palm court alley
Art Garfunkel,folk; singer-songwriter; pop; 70s; rock; classic rock; soft rock; Art Garfunkel; american; male vocalists; seen live; folk rock; easy listening; 60s; Simon and Garfunkel; adult contemporary; oldies; new york; acoustic; garfunkel; Soundtrack; vocal; USA; folk-rock; male vocalist; Best Voices In History; balade; simon and garfunkel sans simon; Love; blues; g; guilty pleasure; soft pop; Ballad; 1970s; vocalist; old; scorpio; beauty and sadness; best oldies-harmonies
Arthur Alexander,soul; Southern Soul; country-soul; rnb; Deep Soul; rhythm and blues; 60s; country soul; american; male vocalists; rhythm & blues; country; 70s; r&b; oldies; muscle shoals; jazz; jazz vocal; rock; singer-songwriter; USA; Love; blues; 60's; beach music; beatles; The Beatles; theme time; mod; Alabama; the rolling stones; All; nonesuch; spotify; r n b; sexysexy; deepsoul; classic Rockabilly; class1940s; class1940; classic beach; zmin; modtoday; hmm hmm him; mybbqmusic
Arthur Conley,soul; 60s; Southern Soul; funk; rhythm and blues; black power; american; oldies; rnb; male vocalists; 70s; All; Deep Soul; Arthur Conley; pop; rock; USA; blues; r&b; misc; deceased; classic rock; alternative; Dead; singer-songwriter; C; RIP; RB; motown; song; male vocal; 3; g; k; 1; 12; plop; blues rock; f; male vocalist; numbers; 80; j; 50; 4; R; book; genesis; second; 15; My Melting Pot - A Grande Misturada; Monday; E; RAC; 9; 2; 7; 30; 1960s; media; abc; america; 17; university; 61; 33; 13; 5; 22; 14; sounds; 31; 60; 6; 10; 23; 49; 48; 47; 46; 45; 44; 43; 42; 40; 39; 38; 37; 36; 35; 34; 32; 29; first; proverbs; i; 76; Tag; sentences; o
Arthur Honegger,contemporary classical; Classical; 20th Century Classical; swiss; composers; composer; les six; modern; 20th century classical composer; expressionism; orchestral; 20th Century; Contemporary; switzerland; modern classical; french; Impressionism; Neo-classicism; symphonists; favorites; Avant-Garde; underrated; art; All; modernist; 20th century period; Le Groupe des Six; anarzisst; non-contemporary; Juma; instrumental; RIP; piano; acoustic; chamber music; trains; france; Klassik; film music; String Quartet; european; dada; music-heaven; futurism; suisse; Clasica; Klassische Musik; neoclassicism; mca; swiss composer; gammarec; Musique Francaise; musique contemporaine; green box; pisces; classical can be destructive; Atari Burroughs; 1cl; Franca; modernismo; Honegger; freepurp1e; western classical music; string quartet cycle; jlclassical; jltag; jlmodern; jlsqc; jlprm; Pre-WWII; jlmod2; 1annayana; 1armindosalvador; Sec XX; 20th C Symphonists; 20th C pre-1950; Arthur Honegger; arthur honneger; mild modern; from fh library 120617
Arthur Prysock,jazz; jazz vocal; easy listening; vocal jazz; male vocalists; Jazz Greats; Disco; soul; Smooth Soul; american; oldies; great; crooners; Myjukebox; All; spotify; top stuff; music to delve into further; Special to me; Spartanburg SC; Sams Song; my best singer; Arthur Prysock
Arthur Russell,Avant-Garde; experimental; Disco; electronic; no wave; singer-songwriter; cello; electronica; art pop; post-punk; jazz; new wave; minimalism; pop; Post punk; electro; new york; american; post-disco; folk; USA; ambient pop; 80s; alternative; ambient; dance; avantgarde; indie; indie pop; Fusion; funk; House; post rock; sunday afternoon; New York City; Avant-Pop; post-rock; idm; psychedelic; genius; free jazz; hypnotic; check out; a soundtrack for being lost in someting else; country; techno; krautrock; 90s; avant garde; contemporary classical; sleepytime; visionary; surrealist; avant; All; Hip-Hop; Classical; rock; soul; 70s; instrumental; emo; modern; synth; drone; oldies; gay; composer; psych; gentle; intimate; male vocalists; iowa; autumnal; songwriting; neoclassical; chameleon; Arthur Russell; Adventurous; audika; mod folk; world of echo
Arthur Verocai,jazz; brazilian; Bossa Nova; world; mpb; latin; brasil; soul; funk; psychedelic; brazil; 70s; samba-jazz; seen live; folk; Progressive rock; jazz-funk; jazz fusion; Avant-Garde; Madlib; summer; Progressive; political; latin jazz; tropicalia; jazz pop; Protest; far out; All; Sao Paulo; Brazilian Jazz; lusofonia; protesto; world wide; Liebo; freischwimmen; treehorn; Far Out Recs
Artie Shaw,jazz; swing; Big Band; clarinet; oldies; 30s; Artie Shaw; 40s; Swing Jazz; american; USA; easy listening; jazz clarinet; instrumental; big band sound; clarinetists; jazz clarinetist; new york; 50s; 1940s; clarinet jazz
Artists For Haiti,michael jackson; haiti; pop; Miley Cyrus; charity; artists; Celine Dion; Akon; justin bieber; help; P!nk; Fergie; Snoop Dogg; adam levine; Nicole Scherzinger; we are the world; bitch please; vocal; rock; female vocalists; beautiful; covers; great; cool; male vocalists; 00s; LL Cool J; pink; Brandy; toni braxton; bono; Officially Shit; music; Lionel Richie; Michael; tony bennett; What the Armies of Satan listen to as they impale babies; Lil Wayne; Josh Groban; janet jackson; Haitian; Drake; jonas brothers; kid cudi; Powerballad; Faith Evans; Jennifer Hudson; hitlercore; Bizzy Bone; jamie foxx; Jeff Bridges; zac brown; randy jackson; Kristian Bush; patti austin; artists for haiti; JUNNER; lionel ritchie
Artists Stand Up To Cancer,american; rnb; pop; female vocalists; beautiful; group; fagcore; soul; british; world; r&b; Rihanna; america; Fergie; barbadian; charity single
Artists United Against Apartheid,rock; 80s; electronic; pop; electro; synthpop; freedom; bono; charity; Bob Dylan; 1985; Bruce Springsteen; you too
Art Paul Schlosser,outsider musicians; folk; outsider music; spotify; USA; american; 00s; lesser known yet streamable artists; 3 stars; Totec Radio; down to earth; virally yours; various artists are a PITA on lastfm; a party on another planet
Art Pepper,jazz; saxophone; bebop; cool jazz; Hard Bop; jazz saxophone; alto sax; Art Pepper; West Coast Jazz; sax; swing; bop; Post-Bop; cool; classic jazz; alto saxophone; Mainstream Jazz; 50s; jazz instrumental; USA; alto; american; Hardbop; Sax Jazz; jazz sax; Saxophone Jazz; alto sax station
Art Tatum,jazz; piano; jazz piano; swing; instrumental; piano jazz; stride; Virtuoso; american; Early Jazz; 30s; art tatum; blues; 40s; jazz pianist; genius; 50s; bebop; pianist; classic jazz; stride piano; USA; contemporary jazz; Swing Jazz; art; jazz instrumental; virtuoso piano
Arturo Sandoval,jazz; latin jazz; trumpet; latin; cuban; jazz trumpet; seen live; Cuban Jazz; arturo sandoval; Big Band; cuba; world; Afro-Cuban Jazz; Fusion; bebop; latinjazz; crossover jazz; Classical; Bossa Nova; instrumental; swing; latino; 00s; Afro-Cuban; Trumpet Jazz; Latin Gramusel; jazztrumpet
Aruna Sairam,carnatic; Indian; female vocalists; india; indian classical; Classical; world; World Music; South Asian; traditional; vocal; tamil; south asian classical; indie; folk; Asian; sitar; female artists; All; south indian; ethnopsychedelic; aruna; carnatic classical; south india; indian classical vocalists; ocora; indian traditional; jonasmusik; Tamil Carnatic; karnattaka; zrodla2; aruna sairam; south asian traditional
Arve Henriksen,jazz; ambient; experimental; norwegian; trumpet; Rune Grammofon; Avant-Garde; electronic; contemporary jazz; ECM; instrumental; scandinavian; seen live; Norway; Avant-Garde Jazz; nu jazz; nordic; norwegian jazz; psychedelic; bass; ambient jazz; scandinavian jazz; free improvisation; soundscape; minimalism; soundscapes; PostEverything; melancholia; electronica; dark jazz; sexy; strange; acoustic; minimal; beautiful; nu-jazz; gruizig en prettig; emd; 00s; jazz trumpet; All; European Jazz; jazz and minimalism; asciiecho; vossajazz-08; trumpetist
Arvo Pärt,Classical; contemporary classical; minimalism; choral; minimalist; estonian; modern classical; minimal; neoclassical; composer; ambient; composers; piano; instrumental; ECM; Avant-Garde; experimental; Contemporary; neo-classical; 20th Century Classical; post-classical; PostClassical; post classical; estonia; neo classical; Arvo Part; sacred music; baltic; tintinnabuli; holy minimalism; sacred minimalism; Sacred; spiritual; orchestral; modern composition; Soundtrack; noise; 20th Century; chamber music; beautiful; electronic; alternative; classic; choir; avantgarde; melancholic; chillout; melancholy; Eesti
Ary Lobo,Forro; brasil; brazilian; Brasilian; lesser known yet streamable artists; All; Bresil; coco; lusofonia; Calcinha Preta; sotaque; mastruz com leite; daqui; os swing
Asa Singh Mastana,Punjabi; Bhangra; desi; Punjabi Folk; world; Indian; World Music; india; Desi Artist; asa singh mastana; Punjabi Duet; spiritual; bollywood; Chants; sacred music; Indian Folk; spirit; bhajans; kirtans; sikh; surinder kaur; punjabi bhangra; doordoorwa1069; de zeven reizen van Sinbad de zeeman; jonasmusik
As Blood Runs Black,deathcore; metalcore; death metal; Melodic Death Metal; hardcore; seen live; Melodic Deathcore; metal; american; melodic metalcore; grindcore; USA; death metalcore
Ash,seen live; rock; indie; britpop; alternative; alternative rock; indie rock; british; irish; punk; pop; punk rock; 90s; pop punk; ash; power pop; northern ireland; indie pop; UK; ireland; northern irish; pop rock; black metal; metal; hard rock; Grunge; emo; brit rock; Britrock; male vocalists; 00s; british rock; Punk-Pop; classic rock; electronic; favourite artists; brit pop; ASH 1977
Asha Bhosle,bollywood; Indian; Hindi; world; desi; india; female vocalists; asha; World Music; Soundtrack; bengali; asha bhosle; Soundtracks; pop; hindustani; urdu; marathi; Asian; All; classical indian; bangla; old hindi; folk; fun; female vocalist; ethno; Favourites; traditional; indian classical; filmi; Rabindra sangeet; Indian Folk; A R Rahman; ravi shankar; indian pop; Indian Cinema; a future in noise; Classical; vocal; female; 60s; sexy; albums I own; modern; soft rock; beautiful; ethnic; film; cinema; jazz piano; gorgeous; female vocal; WorD; lesser known yet streamable artists; to listen; Best of; Hi; Oriental; vocalist; beautiful voice; neoclassical; o; geotagged; -2; geohash:tgt5364; odisha; bhubaneswar; Bollywood Movies; Bollywood Soundtracks; Desi Artist; Punjabi; south asian roots; cult; bhumi soundz; Greatest; Filmscore; cool for cats; spotify; vox femina; 11; scarebears currently checking them out; unamerican; flamenco guitar; psychotronic; lata; GTA; credible genius; strong solo woman; soundtracks and scores; No16; mystic grooves; with estrogen; tagore; Mondiovision; fem; miaou; bollywood music; indian classic; Hindi movie; mrtest
Ashanti,rnb; female vocalists; soul; pop; Hip-Hop; Ashanti; hip hop; r&b; r and b; american; rap; urban; female; female vocalist; sexy; seen live; 00s; dance; rhythm and blues; r'n'b; black music; hip hop soul; rock; new york; USA; hiphop; Neo Soul; slow jams; beautiful; Love; diva; Neo-Soul; contemporary rnb; alternative; favorites; 90s; smooth; Black; fake rnb
Ashbury Heights,synthpop; futurepop; electronic; swedish; electro; seen live; industrial; ebm; dark electro; darkwave; synth pop; Electroclash; synth; female vocalists; dark; electropop; new wave; Sweden; pop; Gothic; male vocalists; future pop; electronica; goth
Asher Roth,Hip-Hop; rap; underground hip-hop; hip hop; seen live; whiteboyonthebeathowsurrealisthat; american; Asher Roth; alternative hip-hop; Pennsylvania; underground rap; underground; wack; brocore; hipster rap; pop; alternative; gay; alternative rap; Hipster-Hop; rap for people who don't like rap; soul; Philadelphia; Twee as Fuck; hiphop; radiohead; male vocalists; white boy; marijuana; white; untalented; Fuck Off; smoke music; just listen; Unafraid of getting shit on dicks; mentally retarded; Rap/Hip Hop; g-eazy; SEX WITH GUYS; reggae; laidback; rnb; East Coast; cool; rhythm and blues; Favorite; want to see live; drug music; bullshit; white rappers; smoking; garbage; Philly; Jazz Hop; east coast rap; favourite artists; tool; Midwest; god; atlanta; smoke; west chester; funeral doom; white rap; Dane Cook; poop; jizz; trainwreck; aint it funky; next big thing; Bro Music; emcee; lollapalooza 2009; Went to my high school; fucking love; Stoner Rap; shit-hop; Douche Bag; white boy hip hop; whitey can spit; i love college; e-walker; fratcore; douchebagcore; frat boy penis; if I do say so myself this Asher Roth is rather low as far as industry standards go in the field of hip hop and if I may also say so I feel that his lyrical content is rather uninteresting and childish; really real; dejabentendu; aaaaaaaaaaaaaaaaaaaaaaaaaaaaa; fuck to u; WiLD987
Ashford & Simpson,soul; Disco; 80s; funk; urban; rnb; pop; 70s; duets; sexy; american; r&b; old school; motown; ashford and simpson; USA; Smooth Soul; quiet storm; smooth; AOR; r and b; melodic rock; 80s Pop; Ashford anf Simpson; classic; 60s; new york; dance; romantic; House; 90s; club; Passionate; Mellow; party; gay; new; Fierce; Confident; intimate; Smooth Jazz; World Music; love songs; High School; 00s; Get Down; harmonies; sweet; sensual; 10s; songwriters; sexual; Old School soul; anthem; lush; sleaze; duos; Laid-back; celebratory; Sentimental; Exuberant; Joyous; cdbaby; Myjukebox; All; my loved tracks; one hit wonder; Immortal; stylish; disco fever; melancolia; 80s groove; slowjam; old school dance; deepsoul; 80s soul; afterdark; R&B/Soul; Cosmopolitan; Mamma mia; funkmysoul; howcouldunotlikeit; Brems Tagg radio; family act; soulful dance; favouritestreamableartists; MJ-Smmmooth Jazz; sweetvoice; Soul Diva; ashford; funk 80; worldmusik; Disco artists; For the boys; male-female duos; DJSamPick; The Heartbeat of Motown; sweetjam; matchinoutfits; soul tag
Ashlee Simpson,pop; female vocalists; pop rock; rock; Ashlee Simpson; dance; american; female; Officially Shit; electronic; female vocalist; Guilty Pleasures; alternative rock; alternative; seen live; teen pop; failed at life; guilty pleasure; 00s; Pop-Rock; Crap; punk; emo; singer-songwriter; swell hooters; sexy; shit; pop punk; all things annoying in the world put together into one stupid bitch; Love; the worst thing ever to happen to music; ashlee; stole my boyfriend; dances funny; indie; favorites; texas; punk rock; fun; amazing; USA; catchy; hot; music; Brutal Death Metal; top 40; poprock; Female Artist; indie pop
Ashley Tisdale,pop; female vocalists; dance; Disney; ashley tisdale; pop rock; american; rock; electronic; rnb; guilty pleasure; teen pop; High School Musical; sexy; female vocalist; electropop; female; Guilty Pleasures; actress; Awesome; Love; alternative; 00s; teenpop; female vocals; Soundtrack; dance-pop; diva; Female Voices; ashley; chillout; USA; beautiful; musical; hot; shit; Pop-Rock; all things annoying in the world put together into one stupid bitch; HSM; world; dance pop; Brutal Death Metal; <3; chill; energy; 3; World Music; sunflower; disney channel; headstrong; Skitz0rz; uitluisteren artist; holloween skitz0rz; my dance room; power pop; amazing; female artists; Crap; english; whore; Pop/Rock; sieg heil; fav888; indie; catchy; nsbm; bitch; Miley Cyrus; scat goregrind; camryn; scat porngrind
"Ashton, Gardner & Dyke",rock; psychedelic; blues; progrock; Progressive rock; Psychedelic Rock
Asia,Progressive rock; classic rock; rock; 80s; hard rock; AOR; seen live; british; asia; art rock; Progressive; Supergroup; pop; arena rock; melodic rock; pop rock; Symphonic Rock; soft rock; prog; male vocalists; UK; 80's; yes; 90s; prog rock; 70s; english
ASIAN KUNG-FU GENERATION,J-rock; japanese; rock; jrock; j-pop; anime; alternative; Japanese music; JPop; Asian Kung-Fu Generation; alternative rock; punk; japanese rock; indie; indie rock; japan; male vocalists; Naruto; Asian; pop; J-Indie; Soundtrack; emo; power pop; punk rock; J-music; asian kung fu generation; akfg; pop rock; pop punk; ajikan; visual kei
As I Lay Dying,metalcore; hardcore; metal; Melodic Death Metal; seen live; christian; screamo; Christian Metalcore; death metal; melodic metalcore; american; rock; thrash metal; as i lay dying; christian metal; emo; heavy metal; alternative
Asking Alexandria,post-hardcore; metalcore; screamo; electronic; hardcore; seen live; trancecore; british; synthcore; metal; emocore; deathcore; melodic metalcore; crabcore; emo; post hardcore; asking alexandria; experimental; electronicore; rock; hard rock; Electrocore; not screamo; electronic post-hardcore; electronica
Asphalt Jungle,punk; french punk; breakbeat; jungle; punk rock; Disco; french; cover; Drum and bass; swiss; france; seen live; 70s; Crap; All; 77; free palestine; French Punk-Rock-Ska; grosse daube francaise; asphalt jungle; patrick eudeline
Assaulter,thrash metal; blackened thrash metal; black metal; australian; seen live; australia; australian metal; metal; australian black metal; heavy metal; thrashened black metal; australian and antichrist; speed metal; italian; epic metal; black-thrash; Black Thrash; black Thrash metal; Blackthrash; Kishore; black/thrash metal; Stuff I have reviewed; italian thrash metal; australian blasphemy
Assemblage 23,ebm; futurepop; industrial; electronic; synthpop; darkwave; seen live; electronica; Gothic; american; electro; dark electro; synth; electro-industrial; Assemblage 23; synth pop; future pop; goth; seattle; industrial dance; USA; new wave; alternative; ambient; techno; trance; dance; United States
Assim Assado,Progressive rock; tropicalia; brazil; brazilian; Psychedelic Rock; 11
Astarte,black metal; melodic black metal; Female fronted metal; Symphonic Black Metal; Greek; metal; Blackened Death Metal; female vocalists; death metal; greece; female fronted black metal; Melodic Death Metal; Hellenic Black Metal; Greek Black Metal; female fronted; symphonic metal; greek metal; pagan black metal; hellenic metal; Black; female; female vocalist; Pagan; pagan metal; female black metal
A Static Lullaby,post-hardcore; screamo; emocore; emo; hardcore; seen live; rock; alternative; post hardcore; metalcore; punk; alternative rock; american; a static lullaby; metal; punk rock; indie; favorites; not screamo; melodic hardcore; not emo; indie rock; alternative metal
Astronautalis,Hip-Hop; seen live; indie; experimental hip-hop; experimental; underground hip hop; rap; underground hip-hop; hip hop; abstract hip-hop; alternative hip-hop; alternative; american; indie hip-hop; indie rock; folkhop; abstract hip hop; freestyle; alternative rap; florida; indie-hop; Minnesota; folk; USA; underground rap; Indie Hip Hop; male vocalists; underground; alternative hip hop; experimental hip hop; hiphop; 00s; indie rap; Astronautalis; shoegangster; pop; rock; singer-songwriter; Awesome; abstract; live; jacksonville; rap rock; folk-hop; rapper-songwriter; historical fiction hip-hop; andy bothwell
Astronoid,Post-Black Metal; shoegaze; black metal; atmospheric black metal; Post-Metal; blackgaze; american; metalcore; Progressive metal; post-rock; atmospheric; Post-Black; seen live; experimental; USA; alternative metal; United States; white metal; metalgaze; Altar of the Emo Gods; metal; rock; emo; Avant-Garde; Progressive; ethereal; boston; underground; under 2000 listeners; Black; seen; Atmospheric metal; NOT METAL; prog metal; post black metal; happy metal; not black metal; Light Metal; usa black metal; blackened shoegaze; transcendental black metal; sun and moon and stars and outer space; dreamcore; emogaze; blackened dream pop; us Post-Black Metal; thrash metal elements; escuchar luego; dream thrash; nu-male metal; riffless garbage; atmoshit; dunk USA 2017; seenx2
Astrud Gilberto,Bossa Nova; jazz; brazilian; female vocalists; latin; lounge; brazil; brasil; chillout; samba; easy listening; 60s; latin jazz; astrud gilberto; mpb; world; Brazilian Jazz; vocal jazz; Bossanova; female vocalist; vocal; female; jazz vocal; downtempo; sexy; bossa; Brazilian Pop; Smooth Jazz; pop; chill; smooth; mood music
Aswefall,electronic; minimal; indie; electronica; smooth; tigersushi; french; vocal; electro; new wave; relax; sexy; indie pop; easy listening; Electro Pop; blau; tanzen; air france; Curso de Armonica; pop-electro; nu jazz; chillout; trip-hop; seen live; pop; chill; alternative; ambient; female vocalists; downtempo; singer-songwriter; dance; Fusion; world; blues; House; indietronica; idm; psychedelic; groove; lounge; Avant-Garde; funky; world fusion; Neo Soul; Neo-Soul; Electronic-World; nu-bluz; Silky Sexy Smooth; politically conscious; electronic-lounge; Nu-Bluz Funky Grooves in the E-Lounge; electronic-folk; emotional-nostalgic-memories; GrooveLife Advocate
